country,country_code,super_region,region,sex,age,pop,alcohol_use,drug_use,high_meat,low_exercise,smoking
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,1255658.236,0.033274634,0.172329897,NA,NA,NA
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,2409461,0.14938571,0.168959605,NA,NA,NA
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,8592888,13.55048007,16.37401001,0.063460652,5.848701039,35.93575675
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,1185833.036,0.03713827,0.177175036,NA,NA,NA
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,2236111,50.02605612,27.287798,0.773087504,84.54417111,407.9429898
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,2546436,0.066807411,0.169868383,NA,NA,NA
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,8615986,1.434909336,1.700381472,0.03699661,1.710080687,2.742246761
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,514446,113.6403298,27.98477945,1.618588067,337.2935578,1577.288657
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,506619,36.25142563,4.328037176,1.145283204,221.0187493,350.9119386
Malaysia,MYS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,2432387,8.285855438,2.918816426,0.452276981,33.75929664,45.74652121
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,6321,75.2530701,23.04539521,0.143376735,266.8163972,524.9874201
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,20610,15.888692,2.680008947,0.039272649,14.15604347,20.15641221
Maldives,MDV,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,5725,65.955834,7.573160838,0.108902339,142.6398521,105.9033908
